"STATION","NAME","DATE","DAPR","EVAP","MDPR","MNPN","MXPN","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WESD","WESF"
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-01",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-03","    2",,"3.61",,,,,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-08","    5",,"0.35",,,,,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-09",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-10",,,,,,"0.05",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-11",,,,,,"0.99",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-12",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-13",,,,,,"0.03",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-14",,,,,,"0.40",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-15",,,,,,"0.97",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-16",,,,,,"1.82",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-17",,,,,,"1.04",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-18",,,,,,"0.02",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-19",,,,,,"0.62",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-20",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-21",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-22",,,,,,"1.45",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-23",,,,,,"0.03",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-24",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-25",,,,,,"0.04",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-26",,,,,,"0.13",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-27",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-28",,,,,,"0.08",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-29",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-30",,,,,,"1.82",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-07-31",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-01",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-02",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-03",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-04",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-05",,,,,,"0.02",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-06",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-07",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-08",,,,,,"0.07",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-09",,,,,,"0.80",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-10",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-11",,,,,,"0.91",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-12",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-13",,,,,,"0.03",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-14",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-15",,,,,,"0.23",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-16",,,,,,"0.45",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-17",,,,,,"0.04",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-18",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-19",,,,,,"0.68",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-20",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-21",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-22",,,,,,"0.00",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-23",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-24",,,,,,"0.00",,"0.0",,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-25",,,,,,"1.84",,,,,,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","2023-08-26",,,,,,"1.29",,,,,,,,,,
